id	created	contents
3	2022-10-03 14:53:32.742567+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "14:53 03 October 2022", "num_samples": 50, "num_minutes": 0.23333333333333334, "accuracy": 0.7, "f1": 0.8235294117647058, "precision": 1.0, "recall": 0.7, "mistakes": [{"text": "you needn't be steeped in '50s sociology , pop culture or movie lore to appreciate the emotional depth of haynes' work . though haynes' style apes films from the period . . . its message is not rooted in that decade .", "label": 1, "prediction": 0, "magnitude": 1.2999999523162842}]}
4	2022-10-03 15:44:52.317663+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "15:44 03 October 2022", "num_samples": 1066, "num_minutes": 3.966666666666667, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "while the story does seem pretty unbelievable at times , it's awfully entertaining to watch .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "debut effort by \" project greenlight \" winner is sappy and amateurish .", "label": 0, "prediction": 1, "magnitude": 0.10000000149011612}]}
5	2022-10-04 11:03:54.157141+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 04 October 2022", "num_samples": 1066, "num_minutes": 3.6166666666666667, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "[an] absorbing documentary .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "in moonlight mile , no one gets shut out of the hug cycle .", "label": 0, "prediction": 1, "magnitude": 0.5}]}
8	2022-10-05 11:10:49.79118+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:10 05 October 2022", "num_samples": 1066, "num_minutes": 10.483333333333333, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "it was filled with shootings , beatings , and more cussing than you could shake a stick at .", "label": 1, "prediction": 0, "magnitude": 0.699999988079071}, {"text": "an extraordinarily silly thriller .", "label": 0, "prediction": 1, "magnitude": 0.6000000238418579}]}
9	2022-10-06 11:03:37.767947+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 06 October 2022", "num_samples": 1066, "num_minutes": 3.2666666666666666, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "if s&m seems like a strange route to true love , maybe it is , but it's to this film's ( and its makers' ) credit that we believe that that's exactly what these two people need to find each other -- and themselves .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "skillful as he is , mr . shyamalan is undone by his pretensions .", "label": 0, "prediction": 1, "magnitude": 1.2000000476837158}]}
10	2022-10-07 11:03:55.690527+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 07 October 2022", "num_samples": 1066, "num_minutes": 3.533333333333333, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "while the story does seem pretty unbelievable at times , it's awfully entertaining to watch .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "more trifle than triumph .", "label": 0, "prediction": 1, "magnitude": 0.10000000149011612}]}
11	2022-10-08 11:03:32.961583+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 08 October 2022", "num_samples": 1066, "num_minutes": 3.25, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "would you laugh if a tuba-playing dwarf rolled down a hill in a trash can ? do you chuckle at the thought of an ancient librarian whacking a certain part of a man's body ? if you answered yes , by all means enjoy the new guy .", "label": 1, "prediction": 0, "magnitude": 1.2000000476837158}, {"text": "in his determination to lighten the heavy subject matter , silberling also , to a certain extent , trivializes the movie with too many nervous gags and pratfalls .", "label": 0, "prediction": 1, "magnitude": 0.10000000149011612}]}
12	2022-10-09 11:04:31.513236+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:04 09 October 2022", "num_samples": 1066, "num_minutes": 4.2, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "you don't know whether to admire the film's stately nature and call it classicism or be exasperated by a noticeable lack of pace . or both .", "label": 1, "prediction": 0, "magnitude": 0.699999988079071}, {"text": "there are many definitions of 'time waster' but this movie must surely be one of them .", "label": 0, "prediction": 1, "magnitude": 0.30000001192092896}]}
13	2022-10-10 11:04:37.205928+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:04 10 October 2022", "num_samples": 1066, "num_minutes": 4.266666666666667, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "even though we know the outcome , the seesawing of the general's fate in the arguments of competing lawyers has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy .", "label": 1, "prediction": 0, "magnitude": 0.30000001192092896}, {"text": "chen films the resolutely downbeat smokers only with every indulgent , indie trick in the book .", "label": 0, "prediction": 1, "magnitude": 0.20000000298023224}]}
14	2022-10-11 11:06:11.456068+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:06 11 October 2022", "num_samples": 1066, "num_minutes": 5.833333333333333, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "works because we're never sure if ohlinger's on the level or merely a dying , delusional man trying to get into the history books before he croaks .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "too daft by half . . . but supremely good natured .", "label": 0, "prediction": 1, "magnitude": 0.30000001192092896}]}
15	2022-10-12 11:04:49.519389+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:04 12 October 2022", "num_samples": 1066, "num_minutes": 4.416666666666667, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "often demented in a good way , but it is an uneven film for the most part .", "label": 1, "prediction": 0, "magnitude": 0.30000001192092896}, {"text": "more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine", "label": 0, "prediction": 1, "magnitude": 0.800000011920929}]}
16	2022-10-13 11:03:49.845229+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 13 October 2022", "num_samples": 1066, "num_minutes": 3.45, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "has enough wit , energy and geniality to please not only the fanatical adherents on either side , but also people who know nothing about the subject and think they're not interested .", "label": 1, "prediction": 0, "magnitude": 0.5}, {"text": "an encouraging effort from mccrudden", "label": 0, "prediction": 1, "magnitude": 0.800000011920929}]}
17	2022-10-14 11:03:39.706908+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 14 October 2022", "num_samples": 1066, "num_minutes": 3.3, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "even though we know the outcome , the seesawing of the general's fate in the arguments of competing lawyers has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy .", "label": 1, "prediction": 0, "magnitude": 0.30000001192092896}, {"text": "theological matters aside , the movie is so clumsily sentimental and ineptly directed it may leave you speaking in tongues .", "label": 0, "prediction": 1, "magnitude": 0.10000000149011612}]}
18	2022-10-15 11:03:42.691215+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 15 October 2022", "num_samples": 1066, "num_minutes": 3.2666666666666666, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "what's so striking about jolie's performance is that she never lets her character become a caricature -- not even with that radioactive hair .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "a wishy-washy melodramatic movie that shows us plenty of sturm und drung , but explains its characters' decisions only unsatisfactorily .", "label": 0, "prediction": 1, "magnitude": 0.10000000149011612}]}
19	2022-10-16 11:03:40.216055+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 16 October 2022", "num_samples": 1066, "num_minutes": 3.316666666666667, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "as well-acted and well-intentioned as all or nothing is , however , the film comes perilously close to being too bleak , too pessimistic and too unflinching for its own good .", "label": 1, "prediction": 0, "magnitude": 0.4000000059604645}, {"text": "the self-serious equilibrium makes its point too well ; a movie , like life , isn't much fun without the highs and lows .", "label": 0, "prediction": 1, "magnitude": 0.4000000059604645}]}
20	2022-10-17 11:03:29.24049+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 17 October 2022", "num_samples": 1066, "num_minutes": 3.183333333333333, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "the acting in pauline and paulette is good all round , but what really sets the film apart is debrauwer's refusal to push the easy emotional buttons .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "director kevin bray excels in breaking glass and marking off the \" miami vice \" checklist of power boats , latin music and dog tracks . he doesn't , however , deliver nearly enough of the show's trademark style and flash .", "label": 0, "prediction": 1, "magnitude": 0.5}]}
21	2022-10-18 11:04:35.393722+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:04 18 October 2022", "num_samples": 1066, "num_minutes": 4.2, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "would you laugh if a tuba-playing dwarf rolled down a hill in a trash can ? do you chuckle at the thought of an ancient librarian whacking a certain part of a man's body ? if you answered yes , by all means enjoy the new guy .", "label": 1, "prediction": 0, "magnitude": 1.2000000476837158}, {"text": "in moonlight mile , no one gets shut out of the hug cycle .", "label": 0, "prediction": 1, "magnitude": 0.5}]}
22	2022-10-19 11:04:54.034181+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:04 19 October 2022", "num_samples": 1066, "num_minutes": 4.533333333333333, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "tsai ming-liang's witty , wistful new film , what time is it there ? , is a temporal inquiry that shoulders its philosophical burden lightly .", "label": 1, "prediction": 0, "magnitude": 0.10000000149011612}, {"text": "the work of an exhausted , desiccated talent who can't get out of his own way .", "label": 0, "prediction": 1, "magnitude": 0.30000001192092896}]}
23	2022-10-20 11:04:01.077795+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 20 October 2022", "num_samples": 1066, "num_minutes": 3.6666666666666665, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "reminiscent of alfred hitchcock's thrillers , most of the scary parts in 'signs' occur while waiting for things to happen .", "label": 1, "prediction": 0, "magnitude": 0.5}, {"text": "the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .", "label": 0, "prediction": 1, "magnitude": 0.8999999761581421}]}
24	2022-10-21 11:04:47.642472+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:04 21 October 2022", "num_samples": 1066, "num_minutes": 4.433333333333334, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "by the time it ends in a rush of sequins , flashbulbs , blaring brass and back-stabbing babes , it has said plenty about how show business has infiltrated every corner of society -- and not always for the better .", "label": 1, "prediction": 0, "magnitude": 0.10000000149011612}, {"text": "an extraordinarily silly thriller .", "label": 0, "prediction": 1, "magnitude": 0.6000000238418579}]}
25	2022-10-22 11:03:42.150503+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 22 October 2022", "num_samples": 1066, "num_minutes": 3.316666666666667, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "tsai ming-liang's witty , wistful new film , what time is it there ? , is a temporal inquiry that shoulders its philosophical burden lightly .", "label": 1, "prediction": 0, "magnitude": 0.10000000149011612}, {"text": "once the expectation of laughter has been quashed by whatever obscenity is at hand , even the funniest idea isn't funny .", "label": 0, "prediction": 1, "magnitude": 0.10000000149011612}]}
26	2022-10-23 11:03:48.283843+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 23 October 2022", "num_samples": 1066, "num_minutes": 3.45, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "you will likely prefer to keep on watching .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "the characters . . . are paper-thin , and their personalities undergo radical changes when it suits the script .", "label": 0, "prediction": 1, "magnitude": 0.20000000298023224}]}
27	2022-10-24 11:03:47.996918+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 24 October 2022", "num_samples": 1066, "num_minutes": 3.433333333333333, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "the film's desire to be liked sometimes undermines the possibility for an exploration of the thornier aspects of the nature/nurture argument in regards to homosexuality .", "label": 1, "prediction": 0, "magnitude": 0.20000000298023224}, {"text": "too daft by half . . . but supremely good natured .", "label": 0, "prediction": 1, "magnitude": 0.30000001192092896}]}
28	2022-10-25 11:03:53.560428+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:03 25 October 2022", "num_samples": 1066, "num_minutes": 3.55, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "your children will be occupied for 72 minutes .", "label": 1, "prediction": 0, "magnitude": 0.6000000238418579}, {"text": "you can tell almost immediately that welcome to collinwood isn't going to jell .", "label": 0, "prediction": 1, "magnitude": 0.10000000149011612}]}
29	2022-10-26 11:04:15.126414+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:04 26 October 2022", "num_samples": 1066, "num_minutes": 3.9, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "where this was lazy but enjoyable , a formula comedy redeemed by its stars , that is even lazier and far less enjoyable .", "label": 1, "prediction": 0, "magnitude": 0.4000000059604645}, {"text": "debut effort by \" project greenlight \" winner is sappy and amateurish .", "label": 0, "prediction": 1, "magnitude": 0.10000000149011612}]}
30	2022-10-27 11:04:18.21434+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:04 27 October 2022", "num_samples": 1066, "num_minutes": 3.95, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "crush is so warm and fuzzy you might be able to forgive its mean-spirited second half .", "label": 1, "prediction": 0, "magnitude": 0.5}, {"text": "cattaneo reworks the formula that made the full monty a smashing success . . . but neglects to add the magic that made it all work .", "label": 0, "prediction": 1, "magnitude": 0.699999988079071}]}
31	2022-10-28 11:04:29.418467+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:04 28 October 2022", "num_samples": 1066, "num_minutes": 4.133333333333334, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "what a dumb , fun , curiously adolescent movie this is .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "the satire is just too easy to be genuinely satisfying .", "label": 0, "prediction": 1, "magnitude": 0.6000000238418579}]}
32	2022-10-29 11:04:12.380288+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "11:04 29 October 2022", "num_samples": 1066, "num_minutes": 3.85, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "critics need a good laugh , too , and this too-extreme-for-tv rendition of the notorious mtv show delivers the outrageous , sickening , sidesplitting goods in steaming , visceral heaps .", "label": 1, "prediction": 0, "magnitude": 0.5}, {"text": "this is a children's film in the truest sense . it's packed with adventure and a worthwhile environmental message , so it's great for the kids . parents , on the other hand , will be ahead of the plot at all times , and there isn't enough clever innuendo to fil", "label": 0, "prediction": 1, "magnitude": 1.399999976158142}]}
33	2022-10-30 12:04:07.043071+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "12:04 30 October 2022", "num_samples": 1066, "num_minutes": 3.75, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "this kind of hands-on storytelling is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .", "label": 1, "prediction": 0, "magnitude": 0.0}, {"text": "there are many definitions of 'time waster' but this movie must surely be one of them .", "label": 0, "prediction": 1, "magnitude": 0.30000001192092896}]}
34	2022-10-31 12:04:01.23544+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "12:03 31 October 2022", "num_samples": 1066, "num_minutes": 3.683333333333333, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .", "label": 1, "prediction": 0, "magnitude": 0.4000000059604645}, {"text": "mushes the college-friends genre ( the big chill ) together with the contrivances and overwrought emotion of soap operas .", "label": 0, "prediction": 1, "magnitude": 0.4000000059604645}]}
35	2022-11-01 12:04:28.972891+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "12:04 01 November 2022", "num_samples": 1066, "num_minutes": 4.133333333333334, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "meant to reduce blake's philosophy into a tragic coming-of-age saga punctuated by bursts of animator todd mcfarlane's superhero dystopia .", "label": 1, "prediction": 0, "magnitude": 0.4000000059604645}, {"text": "while this one gets off with a good natured warning , future lizard endeavors will need to adhere more closely to the laws of laughter", "label": 0, "prediction": 1, "magnitude": 0.10000000149011612}]}
36	2022-11-02 12:04:14.317107+00	{"api_name": "gcp", "dataset_name": "rotten_tomatoes", "created": "12:04 02 November 2022", "num_samples": 1066, "num_minutes": 3.8833333333333333, "accuracy": 0.7776735459662288, "f1": 0.7705711519845111, "precision": 0.796, "recall": 0.7467166979362101, "mistakes": [{"text": "the pianist lacks the quick emotional connections of steven spielberg's schindler's list . but mr . polanski creates images even more haunting than those in mr . spielberg's 1993 classic .", "label": 1, "prediction": 0, "magnitude": 1.7999999523162842}, {"text": "an encouraging effort from mccrudden", "label": 0, "prediction": 1, "magnitude": 0.800000011920929}]}
